No,KODE (SKU/ID),Nama,Pad Code,Kode Ipos,Satuan,Kategori,Customer,Stock Aman,Stock Minimum,Harga FG,Last Update,User Update,Price Satuan,BOM Kode,Material Kode,Nama Material,Ratio
,KRT00309,KARTON BOX B2B,,,PCS,Product,PT. INDONESIA NIPPON SEIKI,0,0,0,05/02/2026 11:17:18,System,Rp 0,MTRL-00031,MTRL-00031,"SHEET 223 X 74,3 CM K150/M125/K150 C/F SCOORE 22.4+29.5+22.4",1
,KRT00029,BOX 1060 X 460 X 315 (SNI16),,,PCS,Product,PT. SANOH INDONESIA,0,0,0,05/02/2026 11:17:18,System,Rp 0,MTRL-00036,MTRL-00036,"SHEET 156 X 63,3 CM K200/M125X3/K150 CB/F SCOORE 23.3+32+8 CM",1
,KRT02601,BIG CARTON BOX LX232L/M JAPAN MODEL (K3120-6700),,,PCS,Product,PT. KAWASAKI MOTOR INDONESIA,0,0,88300,05/02/2026 11:17:18,System,Rp 88.300,MTRL-00038,MTRL-00038,"SHEET 224 X 155,3 CM K150/M125/K150 C/F SCOORE 105+50.3",2
,KRT01279,OUT BOX BOSCH VA 7INCH IP 5PCS 257X238X47 (PM2095),,,PCS,Product,PT. EHWA INDONESIA,0,0,5020,05/02/2026 11:17:18,System,Rp 5.020,MTRL-00043,MTRL-00043,SHEET 127 X 145 CM K150/M125/K125 B/F BRUTO,1
,KRT01283,OUTBOX HUSQWARVA 16 INCH 5PK 530 X 490 X 50 MM (PM2163),,,PCS,Product,PT. EHWA INDONESIA,0,0,14300,05/02/2026 11:17:18,System,Rp 14.300,MTRL-00045,MTRL-00045,"SHEET 208 X 54,6 CM K150/M125X3/K125 CB/F SCOORE 24.3+6+24.3",1
,KRT01842,BOX LYSAGHT KL98 750X190X240 (K150/M125*2 C/F) (PRINTING BIRU),,,PCS,Product,PT. DWIKARYA SEJAHTERA,0,0,5300,05/02/2026 11:17:18,System,Rp 5.300,MTRL-00048,MTRL-00048,"SHEET 192 X 44,5 CM K125/M125/K125 B/F SCOORE 10+24.5+10",1
,KRT01733,JUNGLE BOX TIPE S,,,PCS,Product,PT. MIKASA MITRA MULIA,0,0,88700,05/02/2026 11:17:18,System,Rp 88.700,MTRL-00049,MTRL-00049,"SHEET 225 X 117,3 CM K125/M125X3/K125 CB/F SCOORE 55.8+61.5",2
,KRT01221,CARTON BOX ISUZU P/N. 8974968572 UK: 375X280X175MM (K150/M125X3/K150 CB/F),,,PCS,Product,PT. FUKOKU TOKAI RUBBER INDONESIA,0,0,13063,05/02/2026 11:17:18,System,Rp 13.063,MTRL-00051,MTRL-00051,"SHEET 135 X 46,1 CM K125/M125X3/K125 CB/F SCOORE 14.3+17.5+14.3",1
,KRT00051,BOX 700 X 360 X 250 SNI 07,,,PCS,Product,PT. SANOH INDONESIA,0,0,16926,05/02/2026 11:17:18,System,Rp 16.926,MTRL-00065,MTRL-00065,SHEET 220 X 64 CM K200/M125X3/K150 CB/F SCOORE 18.8+26.4+18.8,1
,KRT00179,CARTON BOX CB 22-A (K3110-0001),,,PCS,Product,PT. KAWASAKI MOTOR INDONESIA,0,0,15726,05/02/2026 11:17:18,System,Rp 15.726,MTRL-00066,MTRL-00066,"SHEET 144 X 55,4 CM K200/M125/K150 C/F SCOORE 17.7+20+17.7",1
,KRT00392,LAYER UK 1065X250X5 (K3140-0021),,,PCS,Product,PT. KAWASAKI MOTOR INDONESIA,0,0,2770,05/02/2026 11:17:18,System,Rp 2.770,MTRL-00070,MTRL-00070,"SHHET 106,5 X 53 CM K200/M125/K200 C/F NETTO",1
,KRT00228,CARTON BOX DH 5 POLOS 820X450X680 MM K125/M125/K125 C/F,,,PCS,Product,PT. DAE HWA INDONESIA,0,0,0,05/02/2026 11:17:18,System,Rp 0,MTRL-00071,MTRL-00071,"SHEET 131 X 113,6 CM K125/M125/K125 C/F SCOORE 22.7+68+22.7",1
,KRT01104,4.5INCH OUT BOX (10PK) - DW4724 225X155X115MM (PM2156),,,PCS,Product,PT. EHWA INDONESIA,0,0,2290,05/02/2026 11:17:18,System,Rp 2.290,MTRL-00072,MTRL-00072,SHEET 176 X 180 CM K150/M125/K125 B/F BRUTO,2
,KRT01231,OUTBOX HUSQVARNA 14 INCH 10PK 465X425X85 MM (PM2162),,,PCS,Product,PT. EHWA INDONESIA,0,0,12000,05/02/2026 11:17:18,System,Rp 12.000,MTRL-00073,MTRL-00073,"SHEET 181 X 51,2 CM K150/M125X3/K125 CB/F SCOORE 21.1+9+21.1",1
,KRT03749,CARTON BOX 34X4X122 CM,,,PCS,Product,PT. FLORA JAYA ABADI,0,0,0,05/02/2026 11:17:18,System,Rp 0,MTRL-00077,MTRL-00077,SHEET 245 X 180 CM K125/M125/K125 B/F BRUTO,1
,KRT00322,KARTON BOX SINGLE LAYER + SABLON UK. 300 X 170 X 120 (INNER),,,PCS,Product,PT. DAIWA SINERGI KARYATAMA,0,0,3300,05/02/2026 11:17:18,System,Rp 3.300,MTRL-00083,MTRL-00083,SHEET 140 X 130 CM K125/M125/K125 B/F BRUTO,1
,KRT00280,INNER BOX (306X271X110) MM,,,PCS,Product,PT. YASUNAGA INDONESIA,0,0,6365,05/02/2026 11:17:18,System,Rp 6.365,MTRL-00090,MTRL-00090,SHEET 121 X 40 CM K125/M125X3/K125 BC/F SCOORE 14+12+14,1
,KRT00178,CARTON BOX CB 35-D (K3110-0010),,,PCS,Product,PT. KAWASAKI MOTOR INDONESIA,0,0,0,05/02/2026 11:17:18,System,Rp 0,MTRL-00092,MTRL-00092,"SHEET 126 X 51,4 CM K200/M125/K150 C/F SCOORE 13,2 + 25 + 13,2",1
,KRT00483,"PARTISI K0WF/K93F (PANJANG 3, PENDEK 5)",,,PCS,Product,PT. DAIWA SINERGI KARYATAMA,0,0,4300,05/02/2026 11:17:18,System,Rp 4.300,MTRL-00094,MTRL-00094,SHEET 135 X 115 CM K125/M125X4 CB/F BRUTO,1
,KRT00195,CARTON BOX DH15 UK 380X280X270 CB/FLUTE,,,PCS,Product,PT. DAE HWA INDONESIA,0,0,0,05/02/2026 11:17:18,System,Rp 0,MTRL-00098,MTRL-00098,"SHEET 136 X 55,6 CM K125/M125X3/K125 CB/F SCOORE 14,3 + 27 + 14,3",1
,KRT00193,CARTON BOX DH12 380X290X150 SINGLE,,,PCS,Product,PT. DAE HWA INDONESIA,0,0,4450,05/02/2026 11:17:18,System,Rp 4.450,MTRL-00100,MTRL-00100,"SHEET 138 X 44,4 CM K125/M125/K125 C/F SCOORE 14,7 + 15 + 14,7",1
,KRT00142,CARTON BOX 620X263X205 MM,,,PCS,Product,PT. CAC PUTRA PERKASA,0,0,15900,05/02/2026 11:17:18,System,Rp 15.900,MTRL-00104,MTRL-00104,"SHEET 182 X 48 CM K150/M125X3/K125 CB/F SCOORE 13,5+21+13,5",1
,KRT00191,CARTON BOX DH1 560X380X340 C/FLUTE,,,PCS,Product,PT. DAE HWA INDONESIA,0,0,0,05/02/2026 11:17:18,System,Rp 0,MTRL-00105,MTRL-00105,"SHEET 192 X 72,4 CM K125/M125/K125 C/F SCOORE 19.2+34+19.2",1
,KRT04028,BIG CARTON BX/BR 125 (NEW COM.SYMBOL) PACKING (K3120-0034),,,PCS,Product,PT. KAWASAKI MOTOR INDONESIA,0,0,55000,05/02/2026 11:17:18,System,Rp 55.000,MTRL-00108,MTRL-00108,"SHEET 223 X 134,6 CM K150/M125/K150 C/F SCOORE 36,1 + 98,5",2
,KRT00015,BIG CARTON BOX 421X (K3120-0025),,,PCS,Product,PT. KAWASAKI MOTOR INDONESIA,0,0,54700,05/02/2026 11:17:18,System,Rp 54.700,MTRL-00109,MTRL-00109,"SHEET 224 X 133 CM K150/M125/K150 C/F SCOORE 29,9 + 103,1",2
,KRT02658,CARTON BOX A-28 (NEW LOGO) (K3110-0065),,,PCS,Product,PT. KAWASAKI MOTOR INDONESIA,0,0,0,05/02/2026 11:17:18,System,Rp 0,MTRL-00114,MTRL-00114,SHEET 70 X 105 CM K150/M125/K150 C/F BRUTO,1
,KRT00999,"SIKU 5CM X 5CM X 0,5 CM (P= 120 CM)",,,PCS,Product,PT. INDONESIA NIPPON SEIKI,0,0,0,05/02/2026 11:17:18,System,Rp 0,MTRL-00119,MTRL-00119,"SIKU 5CM X 5CM X 0,5 CM (P= 120 CM)",1
,KRT01003,SIKU KARTON 5X5X0.5 (P= 106 CM),,,PCS,Product,PT. INDONESIA NIPPON SEIKI,0,0,6143,05/02/2026 11:17:18,System,Rp 6.143,MTRL-00120,MTRL-00120,SIKU KARTOON 5X5X0.5 (P=106 CM),1
,KRT01009,SIKU KARTON UK. 5X5X0.5CM (P=110CM),,,PCS,Product,PT. INDONESIA NIPPON SEIKI,0,0,6353,05/02/2026 11:17:18,System,Rp 6.353,MTRL-00125,MTRL-00125,"SIKU KARTOON UK. 5 X 5 X 0,5 CM (P=96CM)",1
,KRT00273,EURO SHIPPING BOX 1180X780X780 (PM9044),,,PCS,Product,PT. EHWA INDONESIA,0,0,195000,05/02/2026 11:17:18,System,Rp 195.000,MTRL-00129,MTRL-00129,"SHEET 201 X 120,5 CM K275/M125X3/K275 BC/F NETTO",2
,KRT01217,LAYER 1050X1050MM (K150/M125X3/K150 CBF),,,PCS,Product,PT. FUKOKU TOKAI RUBBER INDONESIA,0,0,12300,05/02/2026 11:17:18,System,Rp 12.300,MTRL-00136,MTRL-00136,SHEET 105 X 105 CM K150/M125X3/K150 CB/F NETTO,1
,KRT00449,PACKING MOTOR 04-UK 206X126X256 MM,,,PCS,Product,PT. PANASONIC MANUFACTURING INDONESIA,0,0,23100,05/02/2026 11:17:18,System,Rp 23.100,MTRL-00137,MTRL-00137,SHEET 229 X 145 CM K275/M125/K275 B/F BRUTO,1
,KRT01219,CARTON BOX HOP TORQUE (SMALL) 115X115X115MM (PRINTING) K200/M125/K200 CF,,,PCS,Product,PT. FUKOKU TOKAI RUBBER INDONESIA,0,0,3600,05/02/2026 11:17:18,System,Rp 3.600,MTRL-00138,MTRL-00138,SHEET 116 X 145 CM K125/M125/K125 B/F BRUTO,1
,KRT01329,DUS SAPU WINNY 125X30X32.5 CM,,,PCS,Product,PT. GUNA BAKTI UNGGUL,0,0,21950,05/02/2026 11:17:18,System,Rp 21.950,MTRL-00149,MTRL-00149,SHEET 161 X 70 CM K125/M125X4 CB/F BRUTO,1
,KRT01135,DUS NAMPAN FIONA 56X42.5X47 CM,,,PCS,Product,PT. GUNA BAKTI UNGGUL,0,0,18750,05/02/2026 11:17:18,System,Rp 18.750,MTRL-00150,MTRL-00150,SHEET 104 X 95 CM K125/M125X2 B/F BRUTO,1
,KRT01425,BOX DPG-MC16-M100 315X315X235MM K150/M125X3/K150 CBF,,,PCS,Product,PT. FUKOKU TOKAI RUBBER INDONESIA,0,0,7000,05/02/2026 11:17:18,System,Rp 7.000,MTRL-00151,MTRL-00151,"SHEET 130 X 55,7 CM K125/M125X4 CB/F SCOORE 16.1+23.5+16.1",1
,KRT00306,KARTON BOX 201405 (530X350X320MM),,,PCS,Product,PT. INDONESIA NIPPON SEIKI,0,0,23750,05/02/2026 11:17:18,System,Rp 23.750,MTRL-00154,MTRL-00154,"SHEET 221 X 65,3 CM K150/M125/K150 C/F SCOORE 22,4 + 20,5 + 22,4",1
,KRT00484,PARTISI K2FA PANJANG : 640 X 95 MM PENDEK : 440 X 95 MM,,,PCS,Product,PT. DAIWA SINERGI KARYATAMA,0,0,0,05/02/2026 11:17:18,System,Rp 0,MTRL-00155,MTRL-00155,SHEET 132 X 120 CM K125/M125X4 CB/F BRUTO,2
,KRT01212,DUS PENGKI KIRENA NEW 96X55X28CM,,,PCS,Product,PT. GUNA BAKTI UNGGUL,0,0,26300,05/02/2026 11:17:18,System,Rp 26.300,MTRL-00164,MTRL-00164,SHEET 157 X 90 CM K125/M125X4 CB/F BRUTO,1
,KRT02722,CARTON BOX DH8 POLOS 727X380X320MM K200/M125/K200 C/F,,,PCS,Product,PT. DAE HWA INDONESIA,0,0,12800,05/02/2026 11:17:18,System,Rp 12.800,MTRL-00167,MTRL-00167,"SHEET 175 X 94,8 CM K150/M125X3/K125 CB/F 30,9 + 33 + 30,9",1
,KRT01603,CARTON BOX 1GD (355X268X155)MM,,,PCS,Product,PT. YASUNAGA INDONESIA,0,0,5400,05/02/2026 11:17:18,System,Rp 5.400,MTRL-00169,MTRL-00169,"SHEET 129 X 34,2 CM K200/M125/K200 C/F SCOORE 13.7+15.5+5",1
,KRT01557,BOX BULK LOGO PACKING 40X50X40 (CSUCMMS002871),,,PCS,Product,PT. ESSILORLUXOTTICA PROFESSIONAL SOLUTIONS INDONESIA,0,0,0,05/02/2026 11:17:18,System,Rp 0,MTRL-00176,MTRL-00176,SHEET 168 X 125 CM K125/M125/K125 B/F BRUTO,1
,KRT00439,MASTERBOX Z-03 COMMUNICATION SYMBOL (K3110-0063),,,PCS,Product,PT. KAWASAKI MOTOR INDONESIA,0,0,0,05/02/2026 11:17:18,System,Rp 0,MTRL-00180,MTRL-00180,SHEET 227 X 95 CM K200/M125X3/K150 CB/F BRUTO,1
,KRT00248,CARTON LAYER 950X770,,,PCS,Product,PT. ASAHI INDONESIA,0,0,5600,05/02/2026 11:17:18,System,Rp 5.600,MTRL-00183,MTRL-00183,SHEET 95 X 77 CM K150/M125/K150 C/F NETTO,1
,KRT01684,KARTON BOX PRINTING,,,PCS,Product,PT. SAKATA NIMOTECH INDONESIA,0,0,6700,05/02/2026 11:17:18,System,Rp 6.700,MTRL-00201,MTRL-00201,"SHEET 155 X 44,5 CM K150/M125X3/K150 CB/FSCOORE 14,3 + 16 + 14,3",1
,KRT01732,JUNGLE BOX TIPE M,,,PCS,Product,PT. MIKASA MITRA MULIA,0,0,99500,05/02/2026 11:17:18,System,Rp 99.500,MTRL-00202,MTRL-00202,"SHEET 249 X 123,3 CM K125/M125X3/K125 CB/F SCOORE 61.8 + 61.5",2
,KRT02407,CARTON BOX 9948190000010143 BOX/EUROPRAN LOGO PACKING BOX/ 370*370*430MM/YN,,,PCS,Product,PT. EVERPRO INDONESIA TECHNOLOGIES,0,0,0,05/02/2026 11:17:18,System,Rp 0,MTRL-00227,MTRL-00227,"SHEET 152 X 80,6 CM K275/M125X3/K275 CB/F SCOORE 18.8+43+18.8",1
,KRT04061,(994819000010083) PACKAGING BOX/NEUTRAL LOGO PACKAGING/UK 370X370X430 MM,,,PCS,Product,PT. EVERPRO INDONESIA TECHNOLOGIES,0,0,0,05/02/2026 11:17:18,System,Rp 0,MTRL-00227,MTRL-00227,"SHEET 152 X 80,6 CM K275/M125X3/K275 CB/F SCOORE 18.8+43+18.8",1
,KRT02798,BOX KLOSET JONGKOK ISI 3 (BBP-BOX-SX),,,PCS,Product,PT. KARYA BUMIMAS PERSADA,0,0,24000,05/02/2026 11:17:18,System,Rp 24.000,MTRL-00229,MTRL-00229,SHEET 100 X 170 CM K125/M125X3/K125 CB/F BRUTO,1
,KRT02913,SIDE REEL 10 STP,,,SET,Produk,PT. STAR TEC PACIFIC,0,0,5900,24/01/2026 10:55:06,System,Rp 5.900,MTRL-00261,MTRL-00261,SHEET 112 X 145 CM K200/M125/K200 B/F BRUTO,0.2
,KRT02150,SIDE REEL 10 STP,,,PCS,Product,PT. STAR TEC PACIFIC,0,0,0,05/02/2026 11:17:18,System,Rp 0,MTRL-00261,MTRL-00261,SHEET 112 X 145 CM K200/M125/K200 B/F BRUTO,1
,KRT02700,LAYER 1060X800X7 (K3140-0046),,,PCS,Product,PT. KAWASAKI MOTOR INDONESIA,0,0,10920,05/02/2026 11:17:18,System,Rp 10.920,MTRL-00264,MTRL-00264,SHEET 106 X 37 CM K200/M125/K200 C/F NETTO,1
,KRT02405,DUS DISPATH COKLAT BESAR 230 X 175 X 100 MM (CSUCMMS003443),,,PCS,Product,PT. ESSILORLUXOTTICA PROFESSIONAL SOLUTIONS INDONESIA,0,0,0,05/02/2026 11:17:18,System,Rp 0,MTRL-00286,MTRL-00286,SHEET 176 X 150 CM K125/M125/K125 B/F BRUTO,1
,KRT00042,BOX 500 X 330 X 240 (SNI 11),,,PCS,Product,PT. SANOH INDONESIA,0,0,0,05/02/2026 11:17:18,System,Rp 0,MTRL-00295,MTRL-00295,"SHEET 172 X 59,5 CM K200/M125X3/K150 CB/F SCOORE 17+25,5+17 CM",1
,KRT02624,KARDUS UK 500X550X500CM DOUBLE FACE,,,PCS,Product,PT. MANDEGANI NANDANGI ARDHI,0,0,0,05/02/2026 11:17:18,System,Rp 0,MTRL-00297,MTRL-00297,SHEET 227 X 103 CM K200/M125X3/K150 CB/F SCOORE 20 + 70 + 13,1
,KRT02613,KARDUS UK 122X62X14 SINGLE FACE,,,PCS,Produk,PT. MANDEGANI NANDANGI ARDHI,0,0,26500,24/01/2026 10:55:06,System,Rp 26.500,MTRL-00298,MTRL-00298,SHEET 220 X 105 CM K150/M125/K150 B/F BRUTO,1
,KRT02623,KARDUS UK 122X62X14CM SINGLE FACE,,,PCS,Product,PT. MANDEGANI NANDANGI ARDHI,0,0,0,05/02/2026 11:17:18,System,Rp 0,MTRL-00298,MTRL-00298,SHEET 220 X 105 CM K150/M125/K150 B/F BRUTO,1
,KRT00023,BIG CARTON BOX LX230 STD (K3120-0022),,,PCS,Product,PT. KAWASAKI MOTOR INDONESIA,0,0,64000,05/02/2026 11:17:18,System,Rp 64.000,MTRL-00301,MTRL-00301,"SHEET 224 X 131,6 CM K150/M125/K150 C/F SCOORE 28.6+103",2
,KRT02065,BOX POLOS (BOX 540X350X180MM K150/M125X3/K150 CBF),,,PCS,Product,CV. DAARUL HUDA TEKNIK,0,0,11900,05/02/2026 11:17:18,System,Rp 11.900,MTRL-00308,MTRL-00308,"SHEET 182 X 41,8 CM K150/M125X3/K150 CB/F SCOORE 17.8+16+8",1
,KRT03550,CARTON BOX ENGINE MOUNTING LAYER (1) 235X210X175 MM & 255X220 MM K150/M125X3/K150 CB/F,,,PCS,Product,PT. FUKOKU TOKAI RUBBER INDONESIA,0,0,0,05/02/2026 11:17:18,System,Rp 0,MTRL-00309,MTRL-00309,SHEET 230 X 125 CM K200/M125X3/K150 CB/F BRUTO,1
,KRT00435,MASTERBOX M-03 COMMUNICATION SYMBOL (K3110-0059),,,PCS,Product,PT. KAWASAKI MOTOR INDONESIA,0,0,0,05/02/2026 11:17:18,System,Rp 0,MTRL-00309,MTRL-00309,SHEET 230 X 125 CM K200/M125X3/K150 CB/F BRUTO,1
,KRT00103,CARTON BOX 120 X 120 X 100 MM,,,PCS,Product,PT. FLORA JAYA ABADI,0,0,1300,05/02/2026 11:17:18,System,Rp 1.300,MTRL-00310,MTRL-00310,SHEET 110 X 120 CM K125/M125/K125 B/F BRUTO,1
,KRT02657,CARTON BOX A-20 (NEW LOGO) (KK3110-0070),,,PCS,Product,PT. KAWASAKI MOTOR INDONESIA,0,0,4855,05/02/2026 11:17:18,System,Rp 4.855,MTRL-00311,MTRL-00311,SHEET 97 X 125 CM K150/M125/K150 C/F BRUTO,1
,KRT00189,CARTON BOX DFI 690X510X450 MM K125/M125X3/K125 CB/F,,,PCS,Product,PT. DAE HWA INDONESIA,0,0,21480,05/02/2026 11:17:18,System,Rp 21.480,MTRL-00313,MTRL-00313,"SHEET 244 X 96,6 CM K125/M125X3/K125 BC/F SCOORE 25,8+45+25,8",1
,KRT01609,BOX ESSILOR BESAR POLOS (ISUPRSOIS00024),,,PCS,Product,PT. ESSILORLUXOTTICA PROFESSIONAL SOLUTIONS INDONESIA,0,0,900,05/02/2026 11:17:18,System,Rp 900,MTRL-00316,MTRL-00316,SHEET 120 X 125 CM K125/M125/K125 B/F BRUTO,1
,KRT01364,SHIPPING BOSCH BOX 1190X990X705 (PM2089),,,PCS,Product,PT. EHWA INDONESIA,0,0,230000,05/02/2026 11:17:18,System,Rp 230.000,MTRL-00317,MTRL-00317,"SHEET 220 X 122,5 CM K275/M125X3/K275 CB/F NETTO",2
,KRT00319,KARTON BOX NS-6,,,PCS,Product,PT. YAMATOGOMU INDONESIA,0,0,18695,05/02/2026 11:17:18,System,Rp 18.695,MTRL-00319,MTRL-00319,"SHEET 175 X 64,6 CM K200/M150X3/K150 CB/F SCOORE 17.3+30+17.3",1
,KRT02359,"BULK BOX 14"" (PM2010)",,,PCS,Product,PT. EHWA INDONESIA,0,0,0,05/02/2026 11:17:18,System,Rp 0,MTRL-00324,MTRL-00324,SHEET 170 X 170 CM K200/M125X3/K200 CB/F BRUTO,2
,KRT02220,SIDE REEL 550 STP,,,PCS,Product,PT. STAR TEC PACIFIC,0,0,11800,05/02/2026 11:17:18,System,Rp 11.800,MTRL-00324,MTRL-00324,SHEET 170 X 170 CM K200/M125X3/K200 CB/F BRUTO,1
,KRT02554,LAYER 1060X800X7 (K3140-0046),,,PCS,Product,PT. KAWASAKI MOTOR INDONESIA,0,0,10920,05/02/2026 11:17:18,System,Rp 10.920,MTRL-00325,MTRL-00325,SHEET 106 X 80 CM K200/M125X3/K200 CB/F NETTO,1
,KRT02088,OUTBOX DW47350 3 INCH 5PCS IP (PM2146),,,PCS,Product,PT. EHWA INDONESIA,0,0,0,05/02/2026 11:17:18,System,Rp 0,MTRL-00346,MTRL-00346,SHEET 132 X 110 CM K125/M125/K125 B/F BRUTO,1
,KRT02883,OUT BOX DIABLO 3 INCH IP 3 PCS PET 30% (PM2246),,,PCS,Product,PT. EHWA INDONESIA,0,0,0,05/02/2026 11:17:18,System,Rp 0,MTRL-00346,MTRL-00346,SHEET 132 X 110 CM K125/M125/K125 B/F BRUTO,1
