
,,,,,LAPORAN PESANAN PENJUALAN DETAIL,,,,,,,,,,,,,,,,PERIODE : 01/01/26 - 28/02/26


,,,,,INSPIRASI MEDIA KREATIF

,,,,,JL. TUKAD BATANGHARI XI NO 2

,,,,,0361-4783465

,,,,,AC : 129-00-1116726-5 



,No Transaksi,,,,,,Tanggal,,,Dept.,,Kode Pel.




,6,KRT05012,,,,,CB SW BYD UK 750X100X480 K150XM125X3/K150 CB/F,,,,,,,20.00,,,20.00,,PCS,,,,,"15,500.00",0.00,,,,"310,000.00"



,,,,,,,,,,,,,,125.00,,,,,,,,,,,,,,,"3,825,000.00"

,Pot. :,,0.00,,,,,Pajak :,,,"420,750.00",,,,Biaya :,,,0.00,,,,,Total Akhir :,,,,,"4,245,750.00"



,PO02-2026/A/004/GEN,,,,,,1/5/2026,,,SALE,,PL0139


,No.,Kd. Item,,,,,Nama Item,,,,,,,Jml,,,Terima,,Satuan,,,,,Harga,Pot. %,,,,Total

,1,TRM4287,,,,,"POCKET KANBAN/LABEL (P28XL9.5CM, TEBAL 0.5MM)",,,,,,,500.00,,,500.00,,PCS,,,,,"3,400.00",0.00,,,,"1,700,000.00"



,,,,,,,,,,,,,,500.00,,,,,,,,,,,,,,,"1,700,000.00"

,Pot. :,,0.00,,,,,,,,,,,,Biaya :,,,0.00,,,,,,,,,,"1,887,000.00"
,,,,,,,,Pajak :,,,"187,000.00",,,,,,,,,,,,Total Akhir :



,KIPO26010013,,,,,,1/5/2026,,,SALE,,TR13

,No.,Kd. Item,,,,,Nama Item,,,,,,,Jml,,,Terima,,Satuan,,,,,Harga,Pot. %,,,,Total

,1,TRM0012,,,,,CABLE NYAF Ø0.50MM2 (BLUE) [100MTR/ROLL] (CC481),,,,,,,"1,000.00",,,"1,000.00",,MTR,,,,,"1,465.00",0.00,,,,"1,465,000.00"

,2,TRM0134,,,,,CABLE NYAF Ø1.50MM2 (WHITE) [100MTR/ROLL] (CC474-1),,,,,,,500.00,,,500.00,,MTR,,,,,"3,146.00",0.00,,,,"1,573,000.00"



,,,,,,,,,,,,,,"1,500.00",,,,,,,,,,,,,,,"3,038,000.00"

,Pot. :,,0.00,,,,,Pajak :,,,"334,180.00",,,,Biaya :,,,0.00,,,,,Total Akhir :,,,,,"3,372,180.00"



,KIPO26010022,,,,,,1/5/2026,,,SALE,,TR13

,No.,Kd. Item,,,,,Nama Item,,,,,,,Jml,,,Terima,,Satuan,,,,,Harga,Pot. %,,,,Total

,1,TRM0036,,,,,INK RIBBON (BLACK) LETATWIN LM-1R300B (5PCS/BOX) FOR LETATWIN LM-370A (NB304-1),,,,,,,50.00,,,50.00,,PCS,,,,,"113,850.00",0.00,,,,"5,692,500.00"

,2,TRM0240,,,,,UPUN STEEL END STOPPER (NB142),,,,,,,300.00,,,0.00,,PCS,,,,,"4,950.00",0.00,,,,"1,485,000.00"
,3,TRM0234,,,,,TERMINAL LUG RING R1.25-3 (SPECIAL) (NB901),,,,,,,"2,000.00",,,"2,000.00",,PCS,,,,,506.00,0.00,,,,"1,012,000.00"

,4,TRM0235,,,,,TERMINAL LUG RING R1.25-4 (SPECIAL) (NB982),,,,,,,"2,000.00",,,"2,000.00",,PCS,,,,,506.00,0.00,,,,"1,012,000.00"

,5,TRM1213,,,,,TERMINAL LUG RING TYPE KSS R1.25-6 [100PCS./PACK] (SKUN RING POLOR FOR WIRE 0.50-1.50MM2) (NB144-1),,,,,,,"1,000.00",,,"1,000.00",,PCS,,,,,333.00,0.00,,,,"333,000.00"

,6,TRM0070,,,,,SOCKET CONNECTOR 2 PIN MALE (NB470),,,,,,,200.00,,,200.00,,PCS,,,,,"2,250.00",0.00,,,,"450,000.00"

,7,TRM0069,,,,,SOCKET CONNECTOR 2 PIN FEMALE (NB471),,,,,,,200.00,,,200.00,,PCS,,,,,"2,250.00",0.00,,,,"450,000.00"

,8,TRM0046,,,,,MARKER TUBE MOTP WHITE 3.2 (200MTR/ROL) (CC104-1),,,,,,,400.00,,,400.00,,MTR,,,,,"1,804.00",0.00,,,,"721,600.00"

,9,TRM2344,,,,,NYLON CABLE GLAND PG-13.5 (BLACK) FOR (Ø20.4 HOLE) (NB479-1),,,,,,,100.00,,,100.00,,PCS,,,,,"2,800.00",0.00,,,,"280,000.00"

,10,TRM0033,,,,,FIBERGLASS SLEEVING Ø10MM (WHITE) (NB136-1),,,,,,,200.00,,,200.00,,MTR,,,,,"9,800.00",0.00,,,,"1,960,000.00"

,11,TRM0034,,,,,FIBERGLASS SLEEVING  Ø15MM (WHITE) (NB619),,,,,,,200.00,,,200.00,,MTR,,,,,"16,900.00",0.00,,,,"3,380,000.00"

,12,TRM0152,,,,,CABLE NYAF Ø2.50 MM2 (WHITE) (100MTR/ROLL) (CC476-1),,,,,,,100.00,,,100.00,,MTR,,,,,"5,840.00",0.00,,,,"584,000.00"

,13,TRM0131,,,,,CABLE NYAF Ø0.50MM2 (YELLOW) [100MTR/ROLL] (CC491-1),,,,,,,"1,000.00",,,"1,000.00",,MTR,,,,,"1,465.00",0.00,,,,"1,465,000.00"



,,,,,,,,,,,,,,"7,750.00",,,,,,,,,,,,,,,"18,825,100.00"

,Pot. :,,0.00,,,,,Pajak :,,,"2,070,761.00",,,,Biaya :,,,0.00,,,,,Total Akhir :,,,,,"20,895,861.00"



,KIPO26010043,,,,,,1/6/2026,,,SALE,,TR13

,No.,Kd. Item,,,,,Nama Item,,,,,,,Jml,,,Terima,,Satuan,,,,,Harga,Pot. %,,,,Total

,1,TRM0019,,,,,"CASTER WHEEL NYLON (KASTOR RODA) 4"" C/W BRAKE (ODØ 101.6MM) SWIPEL FLANGE (SLOT 70MMX85MM Ø12) (CD038)",,,,,,,100.00,,,100.00,,PCS,,,,,"131,532.00",0.00,,,,"13,153,200.00"

,2,TRM0020,,,,,"CASTER WHEEL NYLON (KASTOR RODA) 4"" W/O BRAKE (ODØ 101.6MM) SWIPEL FLANGE (SLOT 70MMX85MM Ø12) (CD037)",,,,,,,100.00,,,100.00,,PCS,,,,,"98,746.00",0.00,,,,"9,874,600.00"



,,,,,,,,,,,,,,200.00,,,,,,,,,,,,,,,"23,027,800.00"

,Pot. :,,0.00,,,,,Pajak :,,,"2,533,058.00",,,,Biaya :,,,0.00,,,,,Total Akhir :,,,,,"25,560,858.00"



,MRO/29016/PC/2026,,,,,,1/6/2026,,,SALE,,PL0049

,No.,Kd. Item,,,,,Nama Item,,,,,,,Jml,,,Terima,,Satuan,,,,,Harga,Pot. %,,,,Total

,1,KRT00203,,,,,CARTON BOX EVAPORATOR REGULER 72X26.5X22.5CM K275/M125/K275 BF 2 LAYER,,,,,,,330.00,,,330.00,,PC,,,,,"14,800.00",0.00,,,,"4,884,000.00"



,,,,,,,,,,,,,,330.00,,,,,,,,,,,,,,,"4,884,000.00"

,Pot. :,,0.00,,,,,Pajak :,,,"537,240.00",,,,Biaya :,,,0.00,,,,,Total Akhir :,,,,,"5,421,240.00"



,GBU/PO/C/01/2026/00005,,,,,,1/6/2026,,,SALE,,PL0087


,No.,Kd. Item,,,,,Nama Item,,,,,,,Jml,,,Terima,,Satuan,,,,,Harga,Pot. %,,,,Total

,1,KRT01135,,,,,DUS NAMPAN FIONA 56X42.5X47 CM,,,,,,,75.00,,,75.00,,PCS,,,,,"18,750.00",0.00,,,,"1,406,250.00"
,2,KRT01329,,,,,DUS SAPU WINNY 125X30X32.5 CM,,,,,,,100.00,,,100.00,,PCS,,,,,"21,600.00",0.00,,,,"2,160,000.00"


,,,,,,,,,,,,,,175.00,,,,,,,,,,,,,,,"3,566,250.00"

,Pot. :,,0.00,,,,,Pajak :,,,"392,287.50",,,,Biaya :,,,0.00,,,,,Total Akhir :,,,,,"3,958,537.50"



,3700183161,,,,,,1/6/2026,,,SALE,,PL0151

,No.,Kd. Item,,,,,Nama Item,,,,,,,Jml,,,Terima,,Satuan,,,,,Harga,Pot. %,,,,Total

,1,KRT03785,,,,,PARTY BOX ACTIVITY (1X50 SET),,,,,,,54.00,,,53.00,,CAR,,,,,"473,000.00",0.00,,,,"25,542,000.00"


,,,,,,,,,,,,,,54.00,,,,,,,,,,,,,,,"25,542,000.00"

,Pot. :,,0.00,,,,,Pajak :,,,"2,809,620.00",,,,Biaya :,,,0.00,,,,,Total Akhir :,,,,,"28,351,620.00"



,3700183162,,,,,,1/6/2026,,,SALE,,PL0151

,No.,Kd. Item,,,,,Nama Item,,,,,,,Jml,,,Terima,,Satuan,,,,,Harga,Pot. %,,,,Total

,1,KRT03785,,,,,PARTY BOX ACTIVITY (1X50 SET),,,,,,,54.00,,,54.00,,CAR,,,,,"473,000.00",0.00,,,,"25,542,000.00"


,,,,,,,,,,,,,,54.00,,,,,,,,,,,,,,,"25,542,000.00"

,Pot. :,,0.00,,,,,Pajak :,,,"2,809,620.00",,,,Biaya :,,,0.00,,,,,Total Akhir :,,,,,"28,351,620.00"




,002/PO/CAC/I/2026,,,,,,1/6/2026,,,SALE,,PL0069

,No.,Kd. Item,,,,,Nama Item,,,,,,,Jml,,,Terima,,Satuan,,,,,Harga,Pot. %,,,,Total

,1,KRT05017,,,,,BOX TUTUP UK 113X110X12.5CM 4 WALL KMK 275 CCBF,,,,,,,100.00,,,100.00,,PCS,,,,,"68,500.00",0.00,,,,"6,850,000.00"



,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,"6,850,000.00"

,Pot. :,,0.00,,,,,Pajak :,,,"753,500.00",,,,Biaya :,,,0.00,,,,,Total Akhir :,,,,,"7,603,500.00"



,003/PO/CAC/I/2026,,,,,,1/6/2026,,,SALE,,PL0069

,No.,Kd. Item,,,,,Nama Item,,,,,,,Jml,,,Terima,,Satuan,,,,,Harga,Pot. %,,,,Total

,1,KRT02024,,,,,CARTON BOX PARTISI 270X2777X145,,,,,,,200.00,,,200.00,,PCS,,,,,"5,700.00",0.00,,,,"1,140,000.00"
,2,KRT05018,,,,,PARTISI,,,,,,,400.00,,,400.00,,PCS,,,,,"2,500.00",0.00,,,,"1,000,000.00"
,3,KRT05019,,,,,LAYER,,,,,,,200.00,,,200.00,,PCS,,,,,700.00,0.00,,,,"140,000.00"


,,,,,,,,,,,,,,800.00,,,,,,,,,,,,,,,"2,280,000.00"

,Pot. :,,0.00,,,,,Pajak :,,,"250,800.00",,,,Biaya :,,,0.00,,,,,Total Akhir :,,,,,"2,530,800.00"



,PA26010087,,,,,,1/6/2026,,,SALE,,PL0023

,No.,Kd. Item,,,,,Nama Item,,,,,,,Jml,,,Terima,,Satuan,,,,,Harga,Pot. %,,,,Total

,1,KRT01966,,,,,CARTON BOX K-79 (BROWN) (K8120-0058),,,,,,,20.00,,,20.00,,PCS,,,,,"5,800.00",0.00,,,,"116,000.00"

,2,KRT01966,,,,,CARTON BOX K-79 (BROWN) (K8120-0058),,,,,,,20.00,,,20.00,,PCS,,,,,"5,800.00",0.00,,,,"116,000.00"

,3,KRT01966,,,,,CARTON BOX K-79 (BROWN) (K8120-0058),,,,,,,20.00,,,20.00,,PCS,,,,,"5,800.00",0.00,,,,"116,000.00"



,,,,,,,,,,,,,,60.00,,,,,,,,,,,,,,,"348,000.00"

,Pot. :,,0.00,,,,,Pajak :,,,"38,280.00",,,,Biaya :,,,0.00,,,,,Total Akhir :,,,,,"386,280.00"



,KIPO26010033,,,,,,1/6/2026,,,SALE,,TR13

,No.,Kd. Item,,,,,Nama Item,,,,,,,Jml,,,Terima,,Satuan,,,,,Harga,Pot. %,,,,Total

,1,TRM3713,,,,,TOGGLE SWITCH C513B (SPDT) ON/OFF/ON (CNTD) 15A 250VAC SELF-LOCKING (RC802),,,,,,,10.00,,,10.00,,PCS,,,,,"13,500.00",0.00,,,,"135,000.00"

,2,TRM2019,,,,,BOLT (BAUT JP) M4XP0.7XL30MM (GALVANIZED) (NB1026),,,,,,,"1,000.00",,,"1,000.00",,PCS,,,,,300.00,0.00,,,,"300,000.00"



,,,,,,,,,,,,,,"1,010.00",,,,,,,,,,,,,,,"435,000.00"

,Pot. :,,0.00,,,,,Pajak :,,,"47,850.00",,,,Biaya :,,,0.00,,,,,Total Akhir :,,,,,"482,850.00"



,WASION2601-PO002,,,,,,1/6/2026,,,SALE,,PL0207

,No.,Kd. Item,,,,,Nama Item,,,,,,,Jml,,,Terima,,Satuan,,,,,Harga,Pot. %,,,,Total

,1,KRT05014,,,,,BOX UK 160X100X315MM K125/M125/K125 C/FLUTE,,,,,,,"1,000.00",,,"1,000.00",,PCS,,,,,"4,519.00",0.00,,,,"4,519,000.00"



,,,,,,,,,,,,,,"1,000.00",,,,,,,,,,,,,,,"4,519,000.00"

,Pot. :,,0.00,,,,,Pajak :,,,0.00,,,,Biaya :,,,0.00,,,,,Total Akhir :,,,,,"4,519,000.00"



,PO20260100032,,,,,,1/7/2026,,,SALE,,PL0134

,No.,Kd. Item,,,,,Nama Item,,,,,,,Jml,,,Terima,,Satuan,,,,,Harga,Pot. %,,,,Total

,1,KRT03186,,,,,LAYER W6 370X220 - LAYER W6,,,,,,,100.00,,,100.00,,PCS,,,,,"1,000.00",0.00,,,,"100,000.00"


,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,"100,000.00"

,Pot. :,,0.00,,,,,Pajak :,,,"11,000.00",,,,Biaya :,,,0.00,,,,,Total Akhir :,,,,,"111,000.00"



,001/CSI/PO/I/2026,,,,,,1/7/2026,,,SALE,,PL0188

,No.,Kd. Item,,,,,Nama Item,,,,,,,Jml,,,Terima,,Satuan,,,,,Harga,Pot. %,,,,Total

,1,KRT01466,,,,,BOX PM 550X360X300MM K125/M125X4 CBF,,,,,,,"2,000.00",,,"2,000.00",,PCS,,,,,"9,500.00",0.00,,,,"19,000,000.00"



,,,,,,,,,,,,,,"2,000.00",,,,,,,,,,,,,,,"19,000,000.00"

,Pot. :,,0.00,,,,,Pajak :,,,"2,090,000.00",,,,Biaya :,,,0.00,,,,,Total Akhir :,,,,,"21,090,000.00"



,KIPO26010061,,,,,,1/7/2026,,,SALE,,TR13

,No.,Kd. Item,,,,,Nama Item,,,,,,,Jml,,,Terima,,Satuan,,,,,Harga,Pot. %,,,,Total

,1,TRM0118,,,,,BOLT (BAUT L) M8XP1.25XL25MM (GALVANIZED) (NB031-1),,,,,,,500.00,,,500.00,,PCS,,,,,"2,208.00",0.00,,,,"1,104,000.00"

,2,TRM0348,,,,,FLAT WASHER / RING PLATE (SS400) M6 (GALVANIZED) (NB033),,,,,,,"2,000.00",,,"2,000.00",,PCS,,,,,48.00,0.00,,,,"96,000.00"

,3,TRM0593,,,,,FLAT WASHER / RING PLATE (SS400) M6 GALVANIZED LEBAR (NB041),,,,,,,500.00,,,500.00,,PCS,,,,,400.00,0.00,,,,"200,000.00"

,4,TRM0097,,,,,BOLT (BAUT JP) M4XP0.7XL10MM (GALVANIZED) (NB107-1),,,,,,,"1,000.00",,,"1,000.00",,PCS,,,,,149.00,0.00,,,,"149,000.00"

,5,TRM0592,,,,,FLAT WASHER / RING PLATE M8 (SUS304) (NB348),,,,,,,"1,000.00",,,"1,000.00",,PCS,,,,,400.00,0.00,,,,"400,000.00"



,,,,,,,,,,,,,,"5,000.00",,,,,,,,,,,,,,,"1,949,000.00"

,Pot. :,,0.00,,,,,Pajak :,,,"214,390.00",,,,Biaya :,,,0.00,,,,,Total Akhir :,,,,,"2,163,390.00"



,KIPO26010062,,,,,,1/7/2026,,,SALE,,TR13

,No.,Kd. Item,,,,,Nama Item,,,,,,,Jml,,,Terima,,Satuan,,,,,Harga,Pot. %,,,,Total

,1,TRM0073,,,,,SUPER SEAL SIZE : 7MM X 3MM X 15M (15MTR/ROLL) PTFE JOINT SEALENT (NB356-1),,,,,,,5.00,,,5.00,,ROL,,,,,"269,664.00",0.00,,,,"1,348,320.00"

,2,TRM1089,,,,,STRAPPING BAND SIZE : 15MMW X 0.6MMT X 2.500MTR/ROLL (NB064),,,,,,,2.00,,,2.00,,ROL,,,,,"80,000.00",0.00,,,,"160,000.00"

,3,TRM0072,,,,,STEREO FOAM 3MM (NB233),,,,,,,1.00,,,1.00,,ROL,,,,,"641,520.00",0.00,,,,"641,520.00"
,4,KRT00242,,,,,CARTON BOX SIZE : 70CM X 40CM X 26CM (NB354),,,,,,,50.00,,,50.00,,PCS,,,,,"13,000.00",0.00,,,,"650,000.00"

,5,KRT00243,,,,,CARTON BOX SIZE : 70CM X 40CM X 40CM (NB355),,,,,,,50.00,,,50.00,,PCS,,,,,"14,000.00",0.00,,,,"700,000.00"

,6,TRM0051,,,,,METERAN 5M (NB467),,,,,,,1.00,,,1.00,,PCS,,,,,"55,000.00",0.00,,,,"55,000.00"
,7,TRM0057,,,,,PLYWOOD (KAYU TRIPLEK) L=240 W=120 T=9MM (NB019),,,,,,,90.00,,,90.00,,LBR,,,,,"113,850.00",0.00,,,,"10,246,500.00"

,8,TRM0340,,,,,WAINSCOT (KAYU LIST) L=250 W=7 T=2 (NB018),,,,,,,620.00,,,620.00,,BTG,,,,,"12,500.00",0.00,,,,"7,750,000.00"

,9,TRM0004,,,,,BEAMWOOD (KAYU BALOK) L=150 W=8 T=5 (NB017),,,,,,,660.00,,,660.00,,BTG,,,,,"12,500.00",0.00,,,,"8,250,000.00"

,10,TRM0005,,,,,BEAMWOOD (KAYU BALOK) L=200 X W=8 X T=5 (NB1343),,,,,,,33.00,,,33.00,,BTG,,,,,"24,000.00",0.00,,,,"792,000.00"

,11,TRM4468,,,,,OBENG SHOCK M8 (NB314-5),,,,,,,1.00,,,1.00,,PCS,,,,,"132,715.00",0.00,,,,"132,715.00"


,,,,,,,,,,,,,,"1,513.00",,,,,,,,,,,,,,,"30,726,055.00"

,Pot. :,,0.00,,,,,Pajak :,,,"3,379,866.05",,,,Biaya :,,,0.00,,,,,Total Akhir :,,,,,"34,105,921.05"



,PO20251215000157,,,,,,1/7/2026,,,SALE,,PL0113

,No.,Kd. Item,,,,,Nama Item,,,,,,,Jml,,,Terima,,Satuan,,,,,Harga,Pot. %,,,,Total

,1,KRT04061,,,,,(994819000010083) PACKAGING BOX/NEUTRAL LOGO PACKAGING/UK 370X370X430 MM,,,,,,,"2,000.00",,,"2,000.00",,PCS,,,,,"17,500.00",0.00,,,,"35,000,000.00"

,2,KRT04050,,,,,(994819000000192) CARTON 5 LAYERS CORRUGATED PAPER OUTER UK 375X375X375 MM HW EXCLUSIVE,,,,,,,"1,000.00",,,"1,000.00",,PCS,,,,,"18,600.00",0.00,,,,"18,600,000.00"



,,,,,,,,,,,,,,"3,000.00",,,,,,,,,,,,,,,"53,600,000.00"

,Pot. :,,0.00,,,,,Pajak :,,,"5,896,000.00",,,,Biaya :,,,0.00,,,,,Total Akhir :,,,,,"59,496,000.00"



,PO-L-202601000027,,,,,,1/7/2026,,,SALE,,PL0126

,No.,Kd. Item,,,,,Nama Item,,,,,,,Jml,,,Terima,,Satuan,,,,,Harga,Pot. %,,,,Total

,1,TRM3440,,,,,PRINT CARTON UK 41 X 60CM,,,,,,,2.00,,,2.00,,PCS,,,,,"105,000.00",0.00,,,,"210,000.00"


,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,"210,000.00"

,Pot. :,,0.00,,,,,Pajak :,,,"23,100.00",,,,Biaya :,,,0.00,,,,,Total Akhir :,,,,,"233,100.00"




,JRE-KARAWANG-GA/137/01/2026,,,,,,1/7/2026,,,SALE,,PL0159


,No.,Kd. Item,,,,,Nama Item,,,,,,,Jml,,,Terima,,Satuan,,,,,Harga,Pot. %,,,,Total

,1,TRM4453,,,,,APAR TEMATIK,,,,,,,17.00,,,17.00,,PCS,,,,,"823,500.00",0.00,,,,"13,999,500.00"


,,,,,,,,,,,,,,17.00,,,,,,,,,,,,,,,"13,999,500.00"

,Pot. :,,0.00,,,,,Pajak :,,,"1,539,945.00",,,,Biaya :,,,0.00,,,,,Total Akhir :,,,,,"15,539,445.00"



,PUR-PO-0126/0029,,,,,,1/7/2026,,,SALE,,PL0076

,No.,Kd. Item,,,,,Nama Item,,,,,,,Jml,,,Terima,,Satuan,,,,,Harga,Pot. %,,,,Total

,1,KRT00248,,,,,CARTON LAYER 950X770,,,,,,,500.00,,,500.00,,PCS,,,,,"5,600.00",0.00,,,,"2,800,000.00"


,,,,,,,,,,,,,,500.00,,,,,,,,,,,,,,,"2,800,000.00"

,Pot. :,,0.00,,,,,Pajak :,,,"308,000.00",,,,Biaya :,,,0.00,,,,,Total Akhir :,,,,,"3,108,000.00"



,PO/STP/I/2026/006,,,,,,1/7/2026,,,SALE,,PL0101

,No.,Kd. Item,,,,,Nama Item,,,,,,,Jml,,,Terima,,Satuan,,,,,Harga,Pot. %,,,,Total

,1,KRT02150,,,,,SIDE REEL 10 STP,,,,,,,"3,000.00",,,"3,000.00",,SET,,,,,"5,900.00",0.00,,,,"17,700,000.00"


,,,,,,,,,,,,,,"3,000.00",,,,,,,,,,,,,,,"17,700,000.00"

,Pot. :,,0.00,,,,,Pajak :,,,"1,947,000.00",,,,Biaya :,,,0.00,,,,,Total Akhir :,,,,,"19,647,000.00"



,5701690028,,,,,,1/7/2026,,,SALE,,PL0131

,No.,Kd. Item,,,,,Nama Item,,,,,,,Jml,,,Terima,,Satuan,,,,,Harga,Pot. %,,,,Total

,1,TRM4466,,,,,CHECKLIST MEWP,,,,,,,50.00,,,50.00,,PCS,,,,,"9,500.00",0.00,,,,"475,000.00"
,2,TRM4467,,,,,CHECKLIST EMERGENCY CABINET,,,,,,,50.00,,,50.00,,PCS,,,,,"19,000.00",0.00,,,,"950,000.00"


,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,"1,425,000.00"

,Pot. :,,0.00,,,,,Pajak :,,,"156,750.00",,,,Biaya :,,,0.00,,,,,Total Akhir :,,,,,"1,581,750.00"



